description,development-plan-document,document-url,development-plan-types,development-policies,end-date,entry-date,geographies,name,notes,organisations,start-date,slug
Long Crendon Parish,neigh-plan-buc-longcrendonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Long%20Crendon%20Parish%20NP%20Post%20%20Examination%20Version%20%2019-6-17.pdf,,longcrendonndp-LC1;longcrendonndp-LC2;longcrendonndp-LC3;longcrendonndp-LC4;longcrendonndp-LC5;longcrendonndp-LC6;longcrendonndp-LC7;longcrendonndp-LC8;longcrendonndp-LC9;longcrendonndp-LC10;longcrendonndp-LC11;longcrendonndp-LC12;longcrendonndp-LC13;longcrendonndp-LC14,2023-03-31,2020-12-08,E04001505,Long Crendon Parish Neighbourhood Plan 2013-2023,,local-authority-eng:AYL,2017-10-05,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-longcrendonndp
Long Crendon Parish,neigh-plan-buc-longcrendonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Long%20Crendon%20Parish%20NP%20Post%20%20Examination%20Version%20%2019-6-17.pdf,,longcrendonndp-LC1;longcrendonndp-LC2;longcrendonndp-LC3;longcrendonndp-LC4;longcrendonndp-LC5;longcrendonndp-LC6;longcrendonndp-LC7;longcrendonndp-LC8;longcrendonndp-LC9;longcrendonndp-LC10;longcrendonndp-LC11;longcrendonndp-LC12;longcrendonndp-LC13;longcrendonndp-LC14,2023-03-31,2020-12-08,E04001505,Long Crendon Parish Neighbourhood Plan 2013-2023,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-longcrendonndp
Longwick Parish,neigh-plan-buc-longwickcumilmerndp,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Neighbourhood-planning/Longwick-cum-Ilmer-Parish-Neighbourhood-Plan-2017-2033.pdf,,longwickcumilmerndp-A1;longwickcumilmerndp-A2;longwickcumilmerndp-A3;longwickcumilmerndp-A4;longwickcumilmerndp-A5;longwickcumilmerndp-A6;longwickcumilmerndp-L1;longwickcumilmerndp-L2;longwickcumilmerndp-L3;longwickcumilmerndp-L4;longwickcumilmerndp-L5;longwickcumilmerndp-L6,2033-12-31,2020-12-09,E04001609,Longwick-cum-Ilmer Parish Neighbourhood Plan 2017-2033,,local-authority-eng:WYO,2017-01-01,/development-plan-document/local-authority-eng/WYO/neigh-plan-buc-longwickcumilmerndp
Longwick Parish,neigh-plan-buc-longwickcumilmerndp,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Neighbourhood-planning/Longwick-cum-Ilmer-Parish-Neighbourhood-Plan-2017-2033.pdf,,longwickcumilmerndp-A1;longwickcumilmerndp-A2;longwickcumilmerndp-A3;longwickcumilmerndp-A4;longwickcumilmerndp-A5;longwickcumilmerndp-A6;longwickcumilmerndp-L1;longwickcumilmerndp-L2;longwickcumilmerndp-L3;longwickcumilmerndp-L4;longwickcumilmerndp-L5;longwickcumilmerndp-L6,2033-12-31,2020-12-09,E04001609,Longwick-cum-Ilmer Parish Neighbourhood Plan 2017-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-longwickcumilmerndp
Maids Moreton Parish,neigh-plan-buc-maidsmoretonndp,,,,,2020-12-09,E04001508,Maids Moreton Neighbourhood Plan,,local-authority-eng:AYL,2016-06-06,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-maidsmoretonndp
Maids Moreton Parish,neigh-plan-buc-maidsmoretonndp,,,,,2020-12-09,E04001508,Maids Moreton Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-maidsmoretonndp
Marsh Gibbon Parish,neigh-plan-buc-marshgibbonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/MG-neighbourhood-plan-Jan2015-online-version.pdf,,marshgibbonndp-MG1;marshgibbonndp-MG2;marshgibbonndp-MG3;marshgibbonndp-MG4;marshgibbonndp-MG5;marshgibbonndp-MG6;marshgibbonndp-MG7;marshgibbonndp-MG8;marshgibbonndp-MG9;marshgibbonndp-MG10;marshgibbonndp-MG11;marshgibbonndp-MG12;marshgibbonndp-MG13;marshgibbonndp-MG14;marshgibbonndp-MG15;marshgibbonndp-MG16;marshgibbonndp-MG17;marshgibbonndp-MG18;marshgibbonndp-MG19;marshgibbonndp-MG20,2031-12-31,2020-12-08,E04001509,Marsh Gibbon Neighbourhood Development Plan,,local-authority-eng:AYL,2015-02-25,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-marshgibbonndp
Marsh Gibbon Parish,neigh-plan-buc-marshgibbonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/MG-neighbourhood-plan-Jan2015-online-version.pdf,,marshgibbonndp-MG1;marshgibbonndp-MG2;marshgibbonndp-MG3;marshgibbonndp-MG4;marshgibbonndp-MG5;marshgibbonndp-MG6;marshgibbonndp-MG7;marshgibbonndp-MG8;marshgibbonndp-MG9;marshgibbonndp-MG10;marshgibbonndp-MG11;marshgibbonndp-MG12;marshgibbonndp-MG13;marshgibbonndp-MG14;marshgibbonndp-MG15;marshgibbonndp-MG16;marshgibbonndp-MG17;marshgibbonndp-MG18;marshgibbonndp-MG19;marshgibbonndp-MG20,2031-12-31,2020-12-08,E04001509,Marsh Gibbon Neighbourhood Development Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-marshgibbonndp
Mursley Parish,neigh-plan-buc-mursleyndp,,,,,2020-12-09,E04001513,Mursley Neighbourhood Plan,,local-authority-eng:AYL,2017-07-12,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-mursleyndp
Mursley Parish,neigh-plan-buc-mursleyndp,,,,,2020-12-09,E04001513,Mursley Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-mursleyndp
Newton Longville Parish,neigh-plan-buc-newtonlongvilledndp,,,,,2020-12-09,E04001515,Newton Longville Neighbourhood Plan,,local-authority-eng:AYL,2014-09-19,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-newtonlongvilledndp
Newton Longville Parish,neigh-plan-buc-newtonlongvilledndp,,,,,2020-12-09,E04001515,Newton Longville Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-newtonlongvilledndp
North Marston Parish,neigh-plan-buc-northmarstonndp,,,,,2020-12-09,E04001516,North Marston Neighbourhood Plan,,local-authority-eng:AYL,2018-05-25,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-northmarstonndp
North Marston Parish,neigh-plan-buc-northmarstonndp,,,,,2020-12-09,E04001516,North Marston Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-northmarstonndp
Padbury Parish,neigh-plan-buc-padburyndp,,,,,2020-12-09,E04001519,Padbury Neighbourhood Plan,,local-authority-eng:AYL,2015-04-29,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-padburyndp
Padbury Parish,neigh-plan-buc-padburyndp,,,,,2020-12-09,E04001519,Padbury Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-padburyndp
Pitstone Parish,neigh-plan-buc-pitstonendp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/pnp%20referendum%20edition%2023%20jan%202016-1.pdf,,pitstonendp-P1;pitstonendp-P2;pitstonendp-P3;pitstonendp-P4;pitstonendp-P5;pitstonendp-P6;pitstonendp-P7;pitstonendp-P8,2033-12-31,2020-12-08,E04001521,Pitstone Neighbourhood Plan 2013-2033,,local-authority-eng:AYL,2016-04-14,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-pitstonendp
Pitstone Parish,neigh-plan-buc-pitstonendp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/pnp%20referendum%20edition%2023%20jan%202016-1.pdf,,pitstonendp-P1;pitstonendp-P2;pitstonendp-P3;pitstonendp-P4;pitstonendp-P5;pitstonendp-P6;pitstonendp-P7;pitstonendp-P8,2033-12-31,2020-12-08,E04001521,Pitstone Neighbourhood Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-pitstonendp
Quainton Parish,neigh-plan-buc-quaintonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Quainton%20NDP%20MADE%20VERSION.pdf,,quaintonndp-E1;quaintonndp-E2;quaintonndp-H1;quaintonndp-H2;quaintonndp-CF1;quaintonndp-NE1;quaintonndp-NE2;quaintonndp-LE1;quaintonndp-T1;quaintonndp-T2;quaintonndp-I1,2033-12-31,2020-12-08,E04001524,Quainton Neighbourhood Development Plan 2015-2033,,local-authority-eng:AYL,2016-10-31,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-quaintonndp
Quainton Parish,neigh-plan-buc-quaintonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Quainton%20NDP%20MADE%20VERSION.pdf,,quaintonndp-E1;quaintonndp-E2;quaintonndp-H1;quaintonndp-H2;quaintonndp-CF1;quaintonndp-NE1;quaintonndp-NE2;quaintonndp-LE1;quaintonndp-T1;quaintonndp-T2;quaintonndp-I1,2033-12-31,2020-12-08,E04001524,Quainton Neighbourhood Development Plan 2015-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-quaintonndp
Seer Green Parish,neigh-plan-buc-seergreenndp,,,,,2020-12-09,E04001577,Seer Green Neighbourhood Plan,,local-authority-eng:CHN,2015-11-05,/development-plan-document/local-authority-eng/CHN/neigh-plan-buc-seergreenndp
Seer Green Parish,neigh-plan-buc-seergreenndp,,,,,2020-12-09,E04001577,Seer Green Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-seergreenndp
Slapton Parish,neigh-plan-buc-slaptonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Slapton%20NDP%20Plan_%20Policies%20Maps.pdf,,slaptonndp-SLP1;slaptonndp-SLP2;slaptonndp-SLP3;slaptonndp-SLP4;slaptonndp-SLP5;slaptonndp-SLP6,2033-12-31,2020-12-08,E04001529,Slapton Parish Neighbourhood Development Plan 2013-2033,,local-authority-eng:AYL,2018-07-17,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-slaptonndp
Slapton Parish,neigh-plan-buc-slaptonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Slapton%20NDP%20Plan_%20Policies%20Maps.pdf,,slaptonndp-SLP1;slaptonndp-SLP2;slaptonndp-SLP3;slaptonndp-SLP4;slaptonndp-SLP5;slaptonndp-SLP6,2033-12-31,2020-12-08,E04001529,Slapton Parish Neighbourhood Development Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-slaptonndp
Steeple Claydon Parish,neigh-plan-buc-steepleclaydonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/01%20SCNP%20Neighbourhood%20Plan%20Referendum_0.pdf,,steepleclaydonndp-SC1;steepleclaydonndp-SC2;steepleclaydonndp-SC3;steepleclaydonndp-SC4;steepleclaydonndp-SC5;steepleclaydonndp-SC6;steepleclaydonndp-SC7;steepleclaydonndp-SC8,2033-12-31,2020-12-08,E04001531,Steeple Claydon Neighbourhood Plan,,local-authority-eng:AYL,2017-12-15,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-steepleclaydonndp
Steeple Claydon Parish,neigh-plan-buc-steepleclaydonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/01%20SCNP%20Neighbourhood%20Plan%20Referendum_0.pdf,,steepleclaydonndp-SC1;steepleclaydonndp-SC2;steepleclaydonndp-SC3;steepleclaydonndp-SC4;steepleclaydonndp-SC5;steepleclaydonndp-SC6;steepleclaydonndp-SC7;steepleclaydonndp-SC8,2033-12-31,2020-12-08,E04001531,Steeple Claydon Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-steepleclaydonndp
Stewkley Parish,neigh-plan-buc-stewkleyndp,,,,,2020-12-09,E04001532,Stewkley Neighbourhood Plan,,local-authority-eng:AYL,2016-05-04,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-stewkleyndp
Stewkley Parish,neigh-plan-buc-stewkleyndp,,,,,2020-12-09,E04001532,Stewkley Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-stewkleyndp
Stoke Mandeville Parish,neigh-plan-buc-stokemandevillendp,,,,,2020-12-09,E04001534,Stoke Mandeville Neighbourhood Plan,,local-authority-eng:AYL,2015-07-08,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-stokemandevillendp
Stoke Mandeville Parish,neigh-plan-buc-stokemandevillendp,,,,,2020-12-09,E04001534,Stoke Mandeville Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-stokemandevillendp
Taplow Parish,neigh-plan-buc-taplowndp,,,,,2020-12-09,E04001590,Taplow Neighbourhood Plan,,local-authority-eng:SBU,2015-06-29,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-taplowndp
Taplow Parish,neigh-plan-buc-taplowndp,,,,,2020-12-09,E04001590,Taplow Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-taplowndp
Waddesdon Parish,neigh-plan-buc-waddesdonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Waddesdon%20Neighbourhood%20Plan%20Referendum%20Version%20Oct%202017.pdf,,waddesdonndp-WAD1;waddesdonndp-WAD2;waddesdonndp-WAD3;waddesdonndp-WAD4;waddesdonndp-WAD5;waddesdonndp-WAD6;waddesdonndp-WAD7;waddesdonndp-WAD8;waddesdonndp-WAD9;waddesdonndp-WAD10;waddesdonndp-WAD11;waddesdonndp-WAD12;waddesdonndp-WAD13;waddesdonndp-WAD14,2033-03-31,2020-12-08,E04001544,Waddesdon Parish Neighbourhood Plan 2013-2033,,local-authority-eng:AYL,2017-10-23,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-waddesdonndp
Waddesdon Parish,neigh-plan-buc-waddesdonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Waddesdon%20Neighbourhood%20Plan%20Referendum%20Version%20Oct%202017.pdf,,waddesdonndp-WAD1;waddesdonndp-WAD2;waddesdonndp-WAD3;waddesdonndp-WAD4;waddesdonndp-WAD5;waddesdonndp-WAD6;waddesdonndp-WAD7;waddesdonndp-WAD8;waddesdonndp-WAD9;waddesdonndp-WAD10;waddesdonndp-WAD11;waddesdonndp-WAD12;waddesdonndp-WAD13;waddesdonndp-WAD14,2033-03-31,2020-12-08,E04001544,Waddesdon Parish Neighbourhood Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-waddesdonndp
Wendover Parish,neigh-plan-buc-wendoverndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Wendover%20NP%20Made%20Version%2021%2002%2020.pdf,,wendoverndp-H1;wendoverndp-H2;wendoverndp-H3;wendoverndp-H4;wendoverndp-SD1;wendoverndp-SD2;wendoverndp-B1;wendoverndp-CF1;wendoverndp-CH1;wendoverndp-G1;wendoverndp-G2;wendoverndp-G3;wendoverndp-IC1;wendoverndp-T1;wendoverndp-T2;wendoverndp-T3;wendoverndp-T4,2033-12-31,2020-12-09,E04001547,Wendover Neighbourhood Plan,,local-authority-eng:AYL,2020-02-01,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-wendoverndp
Wendover Parish,neigh-plan-buc-wendoverndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Wendover%20NP%20Made%20Version%2021%2002%2020.pdf,,wendoverndp-H1;wendoverndp-H2;wendoverndp-H3;wendoverndp-H4;wendoverndp-SD1;wendoverndp-SD2;wendoverndp-B1;wendoverndp-CF1;wendoverndp-CH1;wendoverndp-G1;wendoverndp-G2;wendoverndp-G3;wendoverndp-IC1;wendoverndp-T1;wendoverndp-T2;wendoverndp-T3;wendoverndp-T4,2033-12-31,2020-12-09,E04001547,Wendover Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-wendoverndp
Westbury Parish,neigh-plan-buc-westburyndp,,,,,2020-12-09,E04001548,Westbury Neighbourhood Plan,,local-authority-eng:AYL,2019-08-27,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-westburyndp
Westbury Parish,neigh-plan-buc-westburyndp,,,,,2020-12-09,E04001548,Westbury Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-westburyndp
Weston Turville Parish,neigh-plan-buc-westonturvillendp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Weston%20Turville%20Neighbourhood%20Plan%20-%20Referendum%20Version.pdf,,westonturvillendp-H1;westonturvillendp-H2;westonturvillendp-H3;westonturvillendp-H4;westonturvillendp-T1;westonturvillendp-T2;westonturvillendp-T3;westonturvillendp-E1;westonturvillendp-E2;westonturvillendp-E3;westonturvillendp-C1;westonturvillendp-C2;westonturvillendp-C3;westonturvillendp-HE1;westonturvillendp-HE2;westonturvillendp-B1;westonturvillendp-B2;westonturvillendp-B3,2033-12-31,2020-12-09,E04001550,Weston Turville Neighbourhood Plan 2013-2033,,local-authority-eng:AYL,2018-08-08,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-westonturvillendp
Weston Turville Parish,neigh-plan-buc-westonturvillendp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Weston%20Turville%20Neighbourhood%20Plan%20-%20Referendum%20Version.pdf,,westonturvillendp-H1;westonturvillendp-H2;westonturvillendp-H3;westonturvillendp-H4;westonturvillendp-T1;westonturvillendp-T2;westonturvillendp-T3;westonturvillendp-E1;westonturvillendp-E2;westonturvillendp-E3;westonturvillendp-C1;westonturvillendp-C2;westonturvillendp-C3;westonturvillendp-HE1;westonturvillendp-HE2;westonturvillendp-B1;westonturvillendp-B2;westonturvillendp-B3,2033-12-31,2020-12-09,E04001550,Weston Turville Neighbourhood Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-westonturvillendp
Wing Parish,neigh-plan-buc-wingndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Final-Wing-NP.pdf,,wingndp-CGS1;wingndp-CGS2;wingndp-CGS3;wingndp-F1;wingndp-HE1;wingndp-HE2;wingndp-VE1;wingndp-E1;wingndp-E2;wingndp-E3;wingndp-E4;wingndp-T1;wingndp-T2;wingndp-T3;wingndp-T4;wingndp-HO1;wingndp-HO2;wingndp-HO3;wingndp-A1;wingndp-A2,2031-12-31,2020-12-09,E04001553,Wing Neighbourhood Plan 2014-2031,,local-authority-eng:AYL,2015-03-16,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-wingndp
Wing Parish,neigh-plan-buc-wingndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Final-Wing-NP.pdf,,wingndp-CGS1;wingndp-CGS2;wingndp-CGS3;wingndp-F1;wingndp-HE1;wingndp-HE2;wingndp-VE1;wingndp-E1;wingndp-E2;wingndp-E3;wingndp-E4;wingndp-T1;wingndp-T2;wingndp-T3;wingndp-T4;wingndp-HO1;wingndp-HO2;wingndp-HO3;wingndp-A1;wingndp-A2,2031-12-31,2020-12-09,E04001553,Wing Neighbourhood Plan 2014-2031,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-wingndp
Wingrave with Rowsham Parish,neigh-plan-buc-wingraverowshamndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Wingrave%20NP%20Modification%20Plan%20-%20MADE.pdf,,wingraverowshamndp-P1;wingraverowshamndp-P2;wingraverowshamndp-P3;wingraverowshamndp-P4;wingraverowshamndp-P5;wingraverowshamndp-P6;wingraverowshamndp-P7;wingraverowshamndp-P8,2033-12-31,2020-12-09,E04001554,Wingrave with Rowsham Parish Neighbourhood Plan 2013-2033,,local-authority-eng:AYL,2019-09-01,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-wingraverowshamndp
Wingrave with Rowsham Parish,neigh-plan-buc-wingraverowshamndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Wingrave%20NP%20Modification%20Plan%20-%20MADE.pdf,,wingraverowshamndp-P1;wingraverowshamndp-P2;wingraverowshamndp-P3;wingraverowshamndp-P4;wingraverowshamndp-P5;wingraverowshamndp-P6;wingraverowshamndp-P7;wingraverowshamndp-P8,2033-12-31,2020-12-09,E04001554,Wingrave with Rowsham Parish Neighbourhood Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-wingraverowshamndp
Winslow Town,neigh-plan-buc-winslowndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/WNP-FINAL-FINAL-VERSION-JUNE-2014.pdf,,winslowndp-P1;winslowndp-P2;winslowndp-P3;winslowndp-P4;winslowndp-P5;winslowndp-P6;winslowndp-P7;winslowndp-P8;winslowndp-P9;winslowndp-P10;winslowndp-P11;winslowndp-P12;winslowndp-P13;winslowndp-P14;winslowndp-P15;winslowndp-P16;winslowndp-P17;winslowndp-P18;winslowndp-P19;winslowndp-P20,2031-03-31,2020-12-09,E04001555,Winslow Neighbourhood Plan 2014-2031,,local-authority-eng:AYL,2014-09-10,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-winslowndp
Winslow Town,neigh-plan-buc-winslowndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/WNP-FINAL-FINAL-VERSION-JUNE-2014.pdf,,winslowndp-P1;winslowndp-P2;winslowndp-P3;winslowndp-P4;winslowndp-P5;winslowndp-P6;winslowndp-P7;winslowndp-P8;winslowndp-P9;winslowndp-P10;winslowndp-P11;winslowndp-P12;winslowndp-P13;winslowndp-P14;winslowndp-P15;winslowndp-P16;winslowndp-P17;winslowndp-P18;winslowndp-P19;winslowndp-P20,2031-03-31,2020-12-09,E04001555,Winslow Neighbourhood Plan 2014-2031,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-winslowndp
Wooburn and Bourne End Parish,neigh-plan-buc-wooburnbourneendndp,,,,,2020-12-09,E04001618,Wooburn and Bourne End Neighbourhood Plan,,local-authority-eng:WYO,2015-02-09,/development-plan-document/local-authority-eng/WYO/neigh-plan-buc-wooburnbourneendndp
Wooburn and Bourne End Parish,neigh-plan-buc-wooburnbourneendndp,,,,,2020-12-09,E04001618,Wooburn and Bourne End Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-wooburnbourneendndp
Worminghall Parish,neigh-plan-buc-worminghallndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Final%20Worminghall%20Neighbourhood%20Plan.pdf,,worminghallndp-SB1;worminghallndp-NH1;worminghallndp-NH2;worminghallndp-NH3;worminghallndp-RC1;worminghallndp-CFR1;worminghallndp-CFR2;worminghallndp-CFR3;worminghallndp-CH1;worminghallndp-TT1,2033-03-31,2020-12-09,E04001557,Worminghall Neighbourhood Plan,,local-authority-eng:AYL,2018-07-17,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-worminghallndp
Worminghall Parish,neigh-plan-buc-worminghallndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Final%20Worminghall%20Neighbourhood%20Plan.pdf,,worminghallndp-SB1;worminghallndp-NH1;worminghallndp-NH2;worminghallndp-NH3;worminghallndp-RC1;worminghallndp-CFR1;worminghallndp-CFR2;worminghallndp-CFR3;worminghallndp-CH1;worminghallndp-TT1,2033-03-31,2020-12-09,E04001557,Worminghall Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-worminghallndp
