development-plan-document,name,description,organisations,development-plan-types,development-policies,document-url,geographies,notes,entry-date,start-date,end-date,slug
join-waste-dev-plan-bas-xyz,Joint Waste Core Strategy,,local-authority-eng:BAS,waste-plan,,https://www.westofengland.org/waste-planning/adopted-joint-waste-core-strategy,E06000022,,2021-03-03,2011-03-25,2025-12-31,/development-plan-document/local-authority-eng/BAS/join-waste-dev-plan-bas-xyz
waste-dev-plan-bpc-xyz,2019 Waste Plan,,local-authority-eng:BPC,waste-plan,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/dorset-county-council/waste-planning-policy/2019-waste-plan.aspx,E06000058;E0600059,,2021-03-03,2019-12-31,2032-12-31,/development-plan-document/local-authority-eng/BPC/waste-dev-plan-bpc-xyz
mineral-site-plan-bpc-xyz,Mineral Sites Plan 2019,,local-authority-eng:BPC,minerals-plan,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/dorset-county-council/pdfs/planning/adoption-final-plans-msp-waste/msp-pt-1-pages-1-64.pdf,E06000058;E0600059,,2021-03-03,2019-12-31,2027-12-31,/development-plan-document/local-authority-eng/BPC/mineral-site-plan-bpc-xyz
mineral-strategy-bpc-xyz,Minerals Strategy,,local-authority-eng:BPC,minerals-plan,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/dorset-county-council/minerals-planning-policy/minerals-strategy.aspx,E06000058,"Reviewed 2020, no update needed, further review 2021",2021-03-03,2014-05-06,2027-12-31,/development-plan-document/local-authority-eng/BPC/mineral-strategy-bpc-xyz
join-waste-dev-plan-bst-xyz,Joint Waste Core Strategy,,local-authority-eng:BST,waste-plan,,https://www.westofengland.org/waste-planning/adopted-joint-waste-core-strategy,E06000023;E06000022; E06000024;E06000025,,2021-03-03,2011-03-25,2025-12-31,/development-plan-document/local-authority-eng/BST/join-waste-dev-plan-bst-xyz
mineral-safeguarding-dev-plan-con-xyz,Mineral Safeguarding Development Plan Document,,local-authority-eng:CON,minerals-plan,,https://www.cornwall.gov.uk/media/36180980/minerals-safeguarding-dpd-adoption-december-2018e.pdf,EO6000052,,2021-03-03,2018-12-04,,/development-plan-document/local-authority-eng/CON/mineral-safeguarding-dev-plan-con-xyz
mineral-plan-dev-xyz,Devon Minerals Plans,,local-authority-eng:DEV,minerals-plan,,https://www.devon.gov.uk/planning/planning-policies/minerals-and-waste-policy/devon-minerals-plan,E10000008,,2021-03-03,2011-01-01,2030-12-31,/development-plan-document/local-authority-eng/DEV/mineral-plan-dev-xyz
waste-plan-dev-xyz,Devon Waste Plan,,local-authority-eng:DEV,waste-plan,,https://www.devon.gov.uk/planning/planning-policies/minerals-and-waste-policy/devon-waste-plan,E10000008,,2021-03-03,2011-01-01,2030-12-31,/development-plan-document/local-authority-eng/DEV/waste-plan-dev-xyz
waste-plan-som-xyz,Somerset Waste Core Strategy,,local-authority-eng:SOM,waste-plan,,https://www.somerset.gov.uk/waste-planning-and-land/somerset-waste-core-strategy/,E10000027,,2021-03-03,2013-02-01,2027-12-31,/development-plan-document/local-authority-eng/SOM/waste-plan-som-xyz
mineral-plan-som-xyz,Somerset Minerals Plan,,local-authority-eng:SOM,minerals-plan,,https://www.somerset.gov.uk/waste-planning-and-land/somerset-minerals-plan/,E10000027,,2021-03-03,2015-02-01,2029-12-31,/development-plan-document/local-authority-eng/SOM/mineral-plan-som-xyz
mineral-local-plan-gls-xyz,Minerals Local Plan for Gloucestershire,,local-authority-eng:GLS,minerals-plan,,https://www.gloucestershire.gov.uk/media/2096569/mlp-for-glos-2018-2032-adopted-march-2020.pdf,E10000013,,2021-03-03,2018-01-01,2031-12-31,/development-plan-document/local-authority-eng/GLS/mineral-local-plan-gls-xyz
waste-strategy-gls-xyz,Gloucestershire Waste Core Strategy,,local-authority-eng:GLS,waste-plan,,https://www.gloucestershire.gov.uk/media/14056/adopted_wcs_211112-53886.pdf,E10000013,,2021-03-03,2012-01-01,2026-12-31,/development-plan-document/local-authority-eng/GLS/waste-strategy-gls-xyz
min-dev-strat-sws-wil-xyz,Wiltshire and Swindon minerals development core strategy,,local-authority-eng:SWS;local-authority-eng:WIL,minerals-plan,,https://www.swindon.gov.uk/downloads/file/5391/wiltshire_and_swindon_minerals_development_core_strategy_2006_-2026,E06000054;E06000030,,2021-03-03,2006-01-01,2025-12-31,/development-plan-document/local-authority-eng/SWS;local-authority-eng/WIL/min-dev-strat-sws-wil-xyz
waste-strategy-sws-wil-xyz,Wilshire and Swindon waste core strategy,,local-authority-eng:SWS;local-authority-eng:WIL,waste-plan,,https://www.swindon.gov.uk/info/20113/local_plan_and_planning_policy/645/waste_planning_framework,E06000054;E06000030,,2021-03-03,2006-01-01,2025-12-31,/development-plan-document/local-authority-eng/SWS;local-authority-eng/WIL/waste-strategy-sws-wil-xyz
